pl_name,st_teff,st_rad,st_mass
Kepler-402 b,6522,1.22,1.14
Kepler-402 b,6522,1.22,1.14
Kepler-402 b,6522,1.22,1.14
Kepler-402 c,6522,1.22,1.14
Kepler-402 c,6522,1.22,1.14
Kepler-402 c,6522,1.22,1.14
Kepler-402 d,6522,1.22,1.14
Kepler-402 d,6522,1.22,1.14
Kepler-402 d,6522,1.22,1.14
Kepler-402 e,6522,1.22,1.14
Kepler-402 e,6522,1.22,1.14
Kepler-402 e,6522,1.22,1.14
Kepler-465 b,6522,1.22,1.14
Kepler-465 b,6522,1.22,1.14
Kepler-465 b,6522,1.22,1.14
Kepler-1531 b,6520,1.71,1.09
Kepler-584 b,6520,1.22,1.28
WASP-7 b,6520,1.48,1.32
KELT-1 b,6518,1.46,1.32
KELT-3 b,6518,1.61,1.34
Kepler-1515 b,6517,1.38,1.2
Kepler-1515 b,6517,1.38,1.2
Kepler-1515 b,6517,1.38,1.2
Kepler-1626 b,6517,1.16,1.18
Kepler-1626 b,6517,1.16,1.18
Kepler-372 b,6517,1.16,1.18
Kepler-372 b,6517,1.16,1.18
Kepler-372 b,6517,1.16,1.18
Kepler-372 c,6517,1.16,1.18
Kepler-372 c,6517,1.16,1.18
Kepler-372 c,6517,1.16,1.18
Kepler-372 d,6517,1.16,1.18
Kepler-372 d,6517,1.16,1.18
Kepler-372 d,6517,1.16,1.18
Kepler-31 b,6514,1.15,1.21
Kepler-31 c,6514,1.15,1.21
Kepler-31 d,6514,1.15,1.21
Kepler-527 b,6513,1.1,1.12
Kepler-527 b,6513,1.1,1.12
Kepler-527 b,6513,1.1,1.12
Kepler-1515 b,6511,1.41,1.3
Kepler-40 b,6510,2.48,1.46
Kepler-40 b,6510,2.24,1.42
Kepler-40 b,6510,2.48,1.46
Kepler-40 b,6510,2.13,1.48
HAT-P-34 b,6509,1.45,1.36
HAT-P-34 b,6509,1.57,1.34
KELT-24 b,6509,1.51,1.46
Kepler-364 b,6506,1.17,1.2
Kepler-364 c,6506,1.17,1.2
Kepler-1233 b,6505,1.16,1.19
Kepler-1233 b,6505,1.16,1.19
Kepler-1233 b,6505,1.16,1.19
Kepler-31 b,6505,1.16,1.19
Kepler-31 b,6505,1.16,1.19
Kepler-31 b,6505,1.16,1.19
Kepler-31 c,6505,1.16,1.19
Kepler-31 c,6505,1.16,1.19
Kepler-31 c,6505,1.16,1.19
Kepler-31 d,6505,1.16,1.19
Kepler-31 d,6505,1.16,1.19
Kepler-31 d,6505,1.16,1.19
Kepler-820 b,6505,2.17,1.61
K2-249 b,6504,1.57,1.32
Kepler-348 b,6503.59,1.3,1.33
Kepler-348 b,6503.59,1.3,1.33
Kepler-348 c,6503.59,1.3,1.33
Kepler-348 c,6503.59,1.3,1.33
Kepler-372 c,6502,1.3,1.2
DMPP-2 b,6500,1.78,1.44
Kepler-1051 b,6499.3,1.44,1.33
Kepler-1051 b,6499.3,1.44,1.33
Kepler-1233 b,6499,1.17,1.19
Kepler-1442 b,6499,1.09,1.08
Kepler-1442 b,6499,1.09,1.08
Kepler-1442 b,6499,1.09,1.08
HD 106315 b,6498,1.24,1.33
HD 106315 c,6498,1.24,1.33
HD 106315 c,6498,1.24,1.33
Kepler-1112 b,6496,1.54,1.34
Kepler-1181 b,6495.28,1.36,1.33
Kepler-1181 b,6495.28,1.36,1.33
Kepler-116 b,6495,1.15,1.21
Kepler-116 c,6495,1.15,1.21
Kepler-1233 b,6495,1.15,1.21
Kepler-1639 b,6495,1.15,1.11
Kepler-1639 b,6495,1.15,1.11
Kepler-275 b,6495,1.14,1.2
Kepler-275 c,6495,1.14,1.2
Kepler-275 d,6495,1.14,1.2
Kepler-480 b,6495,1.17,1.19
Kepler-480 b,6495,1.17,1.19
Kepler-480 b,6495,1.17,1.19
Kepler-750 b,6495,1.17,1.19
Kepler-750 b,6495,1.17,1.19
Kepler-750 b,6495,1.17,1.19
Kepler-750 c,6495,1.17,1.19
Kepler-750 c,6495,1.17,1.19
Kepler-750 c,6495,1.17,1.19
TOI-163 b,6495,1.65,1.44
Kepler-350 b,6492.3,1.29,1.33
Kepler-350 c,6492.3,1.29,1.33
Kepler-350 c,6492.3,1.29,1.33
Kepler-350 d,6492.3,1.29,1.33
Kepler-350 d,6492.3,1.29,1.33
Kepler-584 b,6491,1.14,1.2
Kepler-40 b,6490,2.18,1.52
Kepler-40 b,6490,2.18,1.52
Kepler-40 b,6490,2.18,1.52
Kepler-40 b,6490,2.18,1.52
Kepler-471 b,6490,1.31,1.3
WASP-82 b,6490,2.18,1.63
Kepler-982 b,6489.06,1.42,1.33
Kepler-982 b,6489.06,1.42,1.33
Kepler-279 b,6488,1.66,1.32
Kepler-279 c,6488,1.66,1.32
Kepler-279 d,6488,1.66,1.32
Kepler-1641 b,6486,1.49,1.1
Kepler-1641 b,6486,1.49,1.1
Kepler-1641 b,6486,1.49,1.1
Kepler-1641 c,6486,1.49,1.1
Kepler-1641 c,6486,1.49,1.1
Kepler-1641 c,6486,1.49,1.1
Kepler-480 b,6485,1.14,1.2
Kepler-116 b,6484,1.17,1.2
Kepler-116 b,6484,1.17,1.2
Kepler-116 b,6484,1.17,1.2
Kepler-116 c,6484,1.17,1.2
Kepler-116 c,6484,1.17,1.2
Kepler-116 c,6484,1.17,1.2
Kepler-1597 b,6484,1.17,1.2
Kepler-1597 b,6484,1.17,1.2
Kepler-1597 b,6484,1.17,1.2
Kepler-364 b,6484,1.17,1.2
Kepler-364 b,6484,1.17,1.2
Kepler-364 b,6484,1.17,1.2
Kepler-364 c,6484,1.17,1.2
Kepler-364 c,6484,1.17,1.2
Kepler-364 c,6484,1.17,1.2
Kepler-1276 b,6482,1.19,1.19
Kepler-392 b,6482,1.46,1.23
Kepler-1394 b,6481,2.55,1.64
Kepler-1597 b,6481,1.17,1.19
Kepler-634 b,6481,1.17,1.19
WASP-14 b,6480,1.31,1.21
WASP-82 b,6480,2.22,1.64
WASP-82 b,6480,2.1,1.48
HAT-P-41 b,6479,1.19,1.28
NGTS-2 b,6478,1.7,1.64
Kepler-1639 b,6477,1.15,1.1
Kepler-342 b,6475,1.18,1.2
Kepler-342 b,6475,1.18,1.2
Kepler-342 b,6475,1.18,1.2
Kepler-342 c,6475,1.18,1.2
Kepler-342 c,6475,1.18,1.2
